imo,vessel_name,mmsi,sanctioned,date_added,current_flag,former_flags,false_flag,current_flag_clean
9267132,BOCEANICA‡,511100464,False,2022-12-01,UNKNOWN,"TANZANIA, DJIBOUTI",False,UNKNOWN
9144782,"BODHI (EX: ROBON, TURBA, PELICAN)",613003728,False,2021-09-30,CAMEROON,,False,CAMEROON
9220914,"BONETTA (EX: BRANDLY, BIRDHUM)",511100387,False,2024-04-30,COOK ISLANDS,PALAU,False,COOK ISLANDS
9582726,BRAVELY LOYALTY,,False,2020-11-12,UNKNOWN,SINGAPORE,False,UNKNOWN
9259355,BREEZE V,354451000,False,2022-12-01,BARBADOS,PANAMA,False,BARBADOS
9171503,BRIGHT GOLD,374670000,False,2025-01-31,PANAMA,,False,PANAMA
9282443,BUENO‡,621819070,False,2022-12-01,UNKNOWN,"TANZANIA, DJIBOUTI",False,UNKNOWN
9252436,CALLISTO (EX: STARRY),477632800,False,2024-01-31,HONG KONG,,False,HONG KONG
9070072,CAMELIA (EX: CAROL)‡,341575000,False,2024-10-31,GUYANA (FALSE),ST KITTS & NEVIS,True,GUYANA
9299680,CANGJIE‡,419001990,False,,INDIA,,False,INDIA
9189110,"CANNONDALE SUPERSIX (EX: EVELYN, NIKA RUBY, FORNAX, OCEAN SCHOONER)",,False,2020-11-12,ESWATINI (FALSE),"COMOROS, PANAMA, CURACAO (FALSE)",True,ESWATINI
9258882,"CARCHARODON (EX: MILA, LEGEND)",574005290,False,2022-07-31,PALAU,VIETNAM,False,PALAU
9410234,CARINA I (EX: AFRODITA I),352001522,False,2022-12-01,UNKNOWN,"PANAMA, LIBERIA",False,UNKNOWN
9137648,CARUZO,511101127,False,2024-01-31,SIERRA LEONE,"PALAU, COOK ISLANDS",False,SIERRA LEONE
9310159,CATALINA 7,352001485,True,2023-12-01,UNKNOWN,PANAMA,False,UNKNOWN
9005493,CAYKA (EX: MARINA)‡,67705430,False,2024-09-30,TANZANIA,,False,TANZANIA
9229439,CERES I (EX: PACIFIC ALFA),,True,2021-04-16,SAN MARINO (FALSE),"SAO TOME & PRINCIPE (FALSE), SAO TOME & PRINCIPE",True,SAN MARINO
9276585,CH BILLION,352003955,True,2024-09-30,UNKNOWN,PANAMA,False,UNKNOWN
9212400,CHAMTANG‡,35796400,False,2025-02-28,UNKNOWN,PANAMA,False,UNKNOWN
9633501,CHELSEA PROVIDENCE,548923200,False,2025-01-31,PHILIPPINES,,False,PHILIPPINES
9240914,CHEM,51899838,True,2024-03-01,UNKNOWN,COOK ISLANDS,False,UNKNOWN
9171498,CHIL 1 (EX: CHILTERN),351643000,True,2023-06-30,GAMBIA,"PANAMA, ESWATINI (FALSE)",False,GAMBIA
9242481,CHINTAMANI,626188000,False,2024-04-30,COOK ISLANDS,GABON,False,COOK ISLANDS
9172583,ALANA (ex FALCON PRIDE),,False,2021-04-16,ANTIGUA & BARBUDA,LIBERIA,False,ANTIGUA & BARBUDA
9111644,ALBA SUN (ex EAGLE BEAUMONT),,False,2021-04-16,UNKNOWN,PANAMA,False,UNKNOWN
9200964,ANASTASIA I,,False,2021-04-16,UNKNOWN,PANAMA,False,UNKNOWN
9123192,AVENTINE,,False,2021-04-16,UNKNOWN,PANAMA,False,UNKNOWN
9221657,BLUEFINS‡,621819069,False,2022-12-01,TANZANIA,DJIBOUTI,False,TANZANIA
9166417,"BRAD (EX: BRADLEY, SEAGER)",,False,2020-11-12,ST KITTS & NEVIS,"COMOROS, PANAMA",False,ST KITTS & NEVIS
9212864,EM LONGEVITY,,False,2021-07-02,SINGAPORE,,False,SINGAPORE
9189952,"EM UNITY (EX: ARIANA, ARINA)",,False,2020-11-12,SAN MARINO,"PALAU, PANAMA",False,SAN MARINO
9102265,EM VITALITY,,False,2022-01-03,UNKNOWN,COOK ISLANDS,False,UNKNOWN
9183300,ENZO (EX: HESTIA),577338000,False,2022-02-01,UNKNOWN,"PANAMA, VANUATU, COMOROS",False,UNKNOWN
9159660,FREESIA I (ex LA ROSA I),,False,2021-04-16,UNKNOWN,PANAMA,False,UNKNOWN
9118393,G STAR (ex ENERGY STAR),,False,2021-04-16,ST KITTS & NEVIS,THAILAND,False,ST KITTS & NEVIS
9081837,HAZEL (ex CLARA),,False,2020-11-12,UNKNOWN,COMOROS,False,UNKNOWN
9256858,"INDA (EX: LINDA, LADY M, LADY D)",,True,2020-11-12,GAMBIA,"RUSSIA, LIBERIA",False,GAMBIA
9187435,INDU (EX: VERGIOS),,False,2020-11-12,COMOROS,BELIZE,False,COMOROS
9201592,INGRID (ex SUPER LADY),,False,2020-11-12,UNKNOWN,"PANAMA, SIERRA LEONE",False,UNKNOWN
9144067,ION (ex GORI/SANREMO/STRENGTH 1),,False,2020-11-12,CAMEROON,,False,CAMEROON
9183271,IONA (EX: CALYPSO),613003744,False,2021-10-29,CAMEROON,,False,CAMEROON
9188788,"JAL GAMINI (EX: PUTRI SAMUDRA, KANHA PRIDE)",671409100,False,2022-05-31,UNKNOWN,"TANZANIA, TOGO, PALAU, CAMEROON",False,UNKNOWN
9150767,MR NAUTILUS,,False,2020-11-12,CAMEROON,,False,CAMEROON
9105102,"OCEAN RI (EX: MEADOWS, OCEAN RICH, CHANG HAI)",,False,2021-04-16,PALAU,COOK ISLANDS,False,PALAU
9133587,"PABLO (EX: MOCKINGBIRD (EX: HELIOS (EX ADISA, SIRO 1)",,False,2020-11-12,GABON,"TANZANIA, COOK ISLANDS, CAMEROON",False,GABON
9102239,PENNY H (ex WU XIAN),,True,2021-04-16,SAO TOME & PRINCIPE,"TANZANIA, PANAMA, SAUDI ARABIA, BAHAMAS",False,SAO TOME & PRINCIPE
8614467,QUEEN 1 (EX: SEA PRINCES),,False,2020-11-12,GUYANA (FALSE),"GUYANA, PANAMA",True,GUYANA
9213301,"RADA (EX: PRADA, KARMA, PROUD NADIA)",,False,2020-11-12,ST KITTS & NEVIS,"TANZANIA, PANAMA, CAMEROON, ESWATINI (FALSE), CURACAO",False,ST KITTS & NEVIS
9160530,RIALTO (EX: KAIRO 1),341673000,False,2022-12-01,COMOROS,"ST KITTS & NEVIS, CAMEROON",False,COMOROS
9070149,SAAVI (ex MAHARAJA),,False,2021-04-16,PANAMA,,False,PANAMA
7729019,SAGNA,,False,2024-08-30,PALAU,,False,PALAU
9208057,SEA GLAMOUR (ex SEA ELEGANCE),,False,2020-11-12,PANAMA,,False,PANAMA
8617055,SIMBA (ex ORE),620725000,False,2020-11-12,SAMOA (FALSE),TANZANIA,True,SAMOA
9253064,SOTHYS,574005200,False,2021-11-30,UNKNOWN,VIETNAM,False,UNKNOWN
8902993,STANDORF,,False,2021-04-16,UNKNOWN,PANAMA,False,UNKNOWN
9246138,"TELSA (EX: TELLUS, ELLA IX / MARS V)",,False,2020-11-12,ST KITTS & NEVIS,"CAMEROON, COMOROS, GABON, TOGO",False,ST KITTS & NEVIS
9248485,"URANUS (ex AZTEC, HERMES, CALLIOP)",,False,2021-04-16,UNKNOWN,"TANZANIA, GUYANA, CAMEROON",False,UNKNOWN
9199828,"VENTURA (EX: GULF VENTURE, LEVIATHAN, ELISA SEA, ARK RESCUE)",,False,2020-11-12,UNKNOWN,"ST KITTS & NEVIS, CAMEROON, GABON, TANZANIA",False,UNKNOWN
7230666,WHITE PURL,355889000,False,2020-11-12,UNKNOWN,PANAMA,False,UNKNOWN
